建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:38:26.234686","UD06","道瓊06","093712","382000","093712.382000","34564.00","1","92.00","0.27","34556.00","2","34559.00","1","34569.00","97.00","34817.00","-253.00","34383.00","181.00","434.00","34472.00","34664.00","-95.00","0","2020","20220411","36885.00","32059.00","4211","1","2","2","245"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:38:25.612802","UN2206","那斯達克2206","093754","090000","093754.090000","14275.00","2","-277.00","-1.90","14274.00","1","14276.00","3","14605.00","53.00","14644.00","-369.00","14274.00","1.00","370.00","14552.00","14333.00","272.00","0","4699","20220411","15570.00","13534.00","4216","2","2","2","579"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:38:26.112398","TX05","台指05","093820","900000","093820.900000","17167.00","1","-111.00","-0.64","17165.00","1","17167.00","2","17300.00","22.00","17352.00","-185.00","17158.00","9.00","194.00","17278.00","17200.00","100.00","0","1304","20220411","19005.00","15551.00","4171","3","2","2","940"
"CreateQuote","2022/04/11 08:31:49.082170","UpdateQuote","2022/04/11 09:38:25.377306","MTX05","小台05","093825","910000","093825.910000","17165.00","1","-113.00","-0.65","17165.00","11","17167.00","1","17299.00","21.00","17354.00","-189.00","17158.00","7.00","196.00","17278.00","17197.00","102.00","0","7045","20220411","19005.00","15551.00","4178","4","2","2","4363"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:38:59.011816","TSEA","加權指","000000","000000","000000.000000","17241.82","122","-42.72","-0.25","0.00","0","0.00","0","17273.05","-11.49","17316.35","-74.53","17216.99","24.83","99.36","17284.54","17284.54","-11.49","0","90924","20220411","19012.99","15556.09","30001","-1","0","2","246209"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:39:01.196191","0050","元大台灣50","000000","000000","000000.000000","133.80","1","-0.75","-0.56","133.75","48","133.80","187","134.15","-0.40","134.45","-0.65","133.70","0.10","0.75","134.55","134.55","-0.40","0","2411","20220411","148.00","121.10","0","-1","0","2","8930"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:39:01.298743","00632R","元大台灣50反1","000000","000000","000000.000000","5.34","3","0.03","0.56","5.34","27","5.35","22278","5.33","0.02","5.35","-0.01","5.31","0.03","0.04","5.31","5.31","0.02","0","26968","20220411","5.84","4.78","17","-1","0","2","135556"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:39:01.371617","TX06","台指06","000000","000000","000000.000000","17133.00","1","-111.00","-0.64","17129.00","1","17133.00","8","17273.00","29.00","17315.00","-182.00","17127.00","6.00","188.00","17244.00","17162.00","111.00","0","170","20220411","18968.00","15520.00","4172","-1","2","2","77"
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:39:01.370594","MTX06","小台06","000000","000000","000000.000000","17133.00","1","-111.00","-0.64","17130.00","2","17134.00","20","17258.00","14.00","17319.00","-186.00","17126.00","7.00","193.00","17244.00","17165.00","93.00","0","902","20220411","18968.00","15520.00","4179","-1","2","2","570"
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:39:01.173504","2330","台積電","093901","539577","093901.539577","565.00","1","-2.00","-0.35","565.00","48","566.00","561","563.00","-4.00","566.00","-1.00","562.00","3.00","4.00","567.00","567.00","-4.00","0","6621","20220411","623.00","511.00","29157","0","0","2","27971"
